trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",25,0,-177.17174726702908,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9801}",30,0,-208.0844638768466,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 4}",0
3,False,"{'a': 0.2, 'e': 0.9702989999999999}",20,0,-29.163854143590477,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.96059601}",25,0,-60.255773106634926,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.9509900498999999}",20,3,-112.0696828551603,"{0: 7, 1: 4, 2: 4, 3: 1, 4: 1}",1
6,False,"{'a': 0.2, 'e': 0.9414801494009999}",30,0,-74.92725998336151,"{0: 20, 1: 5, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.9320653479069899}",20,0,-123.71548024656533,"{0: 13, 1: 0, 2: 2, 3: 4, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.92274469442792}",20,12,-19.39754249862699,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.2, 'e': 0.9135172474836407}",20,0,-76.29994125003476,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9043820750088043}",20,13,1.6884417845708546,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.8953382542587163}",30,0,-100.08688950861948,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.8863848717161291}",25,0,-101.93852209063087,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.8775210229989678}",20,0,-174.70345918305668,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.8687458127689781}",25,0,-98.72541823202135,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.8600583546412883}",20,5,-31.616176799691694,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.2, 'e': 0.8514577710948754}",20,0,-101.25839534669129,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.2, 'e': 0.8429431933839266}",20,0,-70.80819763849414,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.8345137614500874}",20,0,-143.71978497569322,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.8261686238355865}",30,20,-16.763549995404606,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': 0.8179069375972307}",20,0,-58.01406636397429,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.8097278682212583}",25,0,-95.57907964209635,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.8016305895390458}",20,0,-39.89804679878422,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.7936142836436553}",20,13,-32.57934209152314,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
24,False,"{'a': 0.2, 'e': 0.7856781408072188}",25,0,-42.588873043518575,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.7778213593991465}",25,0,-9.595604867065262,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.2, 'e': 0.7700431458051551}",20,0,-102.48440383572628,"{0: 13, 1: 3, 2: 0, 3: 3, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.7623427143471035}",20,0,-28.65272711942343,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.7547192872036325}",20,0,-40.44881416453424,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.2, 'e': 0.7471720943315961}",25,0,-244.777140180136,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
30,False,"{'a': 0.2, 'e': 0.7397003733882802}",20,0,-59.826182431454264,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.2, 'e': 0.7323033696543974}",20,0,-138.88396407581666,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.2, 'e': 0.7249803359578534}",25,0,-96.2815419641856,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.2, 'e': 0.7177305325982748}",20,0,-55.86370886031797,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
34,False,"{'a': 0.2, 'e': 0.7105532272722921}",25,0,-60.83908659770836,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.7034476949995692}",20,0,-37.722944677273205,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
36,False,"{'a': 0.2, 'e': 0.6964132180495735}",20,9,-32.77353582407289,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.6894490858690777}",25,17,10.584035515008505,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.2, 'e': 0.682554595010387}",35,0,-69.3218597450448,"{0: 28, 1: 1, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.2, 'e': 0.6757290490602831}",20,0,-87.35734825265098,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.2, 'e': 0.6689717585696803}",25,0,10.823977778432917,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 0.2, 'e': 0.6622820409839835}",20,0,-35.78022843009932,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.2, 'e': 0.6556592205741436}",20,0,-117.59190602113763,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
