trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.3820649247229,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.48380000182463,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-238.5253998086253,"{0: 23, 1: 1, 2: 4, 3: 3, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.30060920907457,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.02435004222747,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.97358127204942,"{0: 13, 1: 5, 2: 11, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.71347346526869,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.66086590845559,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.31819607558572,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.95875941836712,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,4,-36.11297596067766,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.30971879349791,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,7,-63.94745920104226,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.15559173720429,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.30739129145928,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-173.47536920858445,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.55244570429022,"{0: 10, 1: 6, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.38826365652451,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-219.10122075379755,"{0: 11, 1: 8, 2: 7, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.2462593130079,"{0: 12, 1: 7, 2: 10, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.95406696620307,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,11,-140.88025264512808,"{0: 8, 1: 0, 2: 1, 3: 3, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.7946167128154,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.15995694859495,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-70.2532869147778,"{0: 24, 1: 8, 2: 1, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.30049234393644,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.86040039328466,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-201.02723592281623,"{0: 9, 1: 3, 2: 2, 3: 3, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.83451528442106,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.91959832347527,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
